@relation microarray

@attribute 'Peroxide 0' real
@attribute 'Peroxide 10' real
@attribute 'Peroxide 20' real
@attribute 'Peroxide 40' real
@attribute 'Peroxide 60' real
@attribute 'Peroxide 120' real
@attribute 'Deletant sensitivity to H2O2' {'Not sensitive','Sensitive'}

@data

?,?,?,33.20,?,?,'Sensitive'
84.90,63.60,67.50,85.00,44.80,115.80,'Sensitive'
857.60,430.10,264.70,222.50,166.60,468.20,'Not sensitive'
12.10,19.40,15.60,14.00,19.50,?,'Sensitive'
411.60,174.30,100.10,148.60,144.50,?,'Sensitive'
145.20,46.40,74.90,136.70,120.80,101.50,'Sensitive'
120.85,39.00,36.40,?,?,?,'Not sensitive'
34.10,107.90,123.80,96.80,?,?,'Not sensitive'
757.30,486.70,516.80,571.40,464.00,484.90,'Sensitive'
7.10,?,?,3.70,8.50,?,'Not sensitive'
364.40,147.30,20.00,21.40,38.50,132.40,'Not sensitive'
342.65,341.60,218.80,289.00,403.90,292.00,'Sensitive'
238.55,245.60,202.40,281.60,139.80,280.10,'Sensitive'
19680.40,12797.30,6387.90,2826.20,1147.30,11521.70,'Not sensitive'
?,?,?,?,36.90,?,'Sensitive'
195.65,169.40,137.20,161.90,166.60,153.90,'Sensitive'
373.55,216.10,125.30,170.70,165.10,303.90,'Sensitive'
368.55,341.60,278.10,565.50,505.10,392.00,'Sensitive'
110.30,44.00,58.60,163.30,152.40,?,'Sensitive'
83.55,?,100.10,111.60,59.10,99.10,'Not sensitive'
159.30,73.50,39.30,42.10,38.50,113.40,'Not sensitive'
569.50,36.60,27.50,42.10,191.90,365.80,'Not sensitive'
?,?,?,49.50,97.00,?,'Not sensitive'
311.80,191.50,165.40,299.40,316.90,249.10,'Not sensitive'
68.00,31.70,?,40.60,78.10,?,'Not sensitive'
9410.80,5319.90,3826.80,1782.30,816.70,5891.40,'Not sensitive'
207.50,157.10,184.70,139.70,131.80,192.00,'Not sensitive'
?,?,?,?,?,?,'Sensitive'
991.10,506.40,456.00,781.40,1291.20,1337.60,'Sensitive'
105.40,1436.10,3616.30,4897.60,4113.00,1387.60,'Not sensitive'
638.35,358.80,160.90,65.80,44.80,222.90,'Sensitive'
183.00,162.00,58.60,86.50,201.40,125.30,'Not sensitive'
541.35,376.00,362.60,460.50,633.20,532.60,'Not sensitive'
163.05,68.50,31.90,9.60,?,?,'Not sensitive'
621.95,1571.40,1942.00,2503.80,2425.30,689.70,'Sensitive'
830.20,412.90,574.70,506.40,375.40,389.70,'Sensitive'
149.20,157.10,150.50,130.80,84.40,?,'Sensitive'
142.05,90.70,39.30,46.50,112.90,84.80,'Sensitive'
449.55,277.60,246.90,258.00,275.80,161.00,'Sensitive'
514.85,545.70,542.00,762.10,1186.80,668.30,'Sensitive'
?,?,?,?,?,?,'Sensitive'
118.15,83.30,?,52.40,105.00,65.70,'Sensitive'
?,29.20,?,51.00,68.60,?,'Sensitive'
12690.15,8861.80,4967.20,2304.20,1533.20,6660.60,'Sensitive'
68.70,68.50,?,67.20,184.00,153.90,'Sensitive'
154.75,?,15.60,31.70,27.50,87.20,'Not sensitive'
276.25,206.30,137.20,198.80,182.50,237.20,'Not sensitive'
42.60,31.70,28.90,105.70,106.50,53.80,'Sensitive'
?,12.00,?,?,?,?,'Not sensitive'
?,?,27.50,49.50,24.30,?,'Not sensitive'
301.60,228.40,143.10,195.90,177.70,270.60,'Not sensitive'
775.45,526.00,374.50,454.60,584.20,680.20,'Sensitive'
302.65,312.10,212.80,237.30,222.00,122.90,'Sensitive'
1463.40,769.60,505.00,528.50,758.20,1144.60,'Sensitive'
?,?,?,?,57.50,?,'Sensitive'
588.60,548.20,285.50,407.30,411.80,337.30,'Not sensitive'
473.45,390.80,330.00,331.90,851.50,565.90,'Not sensitive'
71.40,48.90,39.30,80.50,212.50,168.20,'Not sensitive'
1084.25,1898.50,3076.50,4872.40,6275.20,2945.20,'Not sensitive'
?,?,8.20,?,?,?,'Not sensitive'
?,?,?,?,?,?,'Sensitive'
367.80,255.50,152.00,113.10,258.40,201.50,'Sensitive'
?,58.70,46.70,111.60,51.20,?,'Sensitive'
111.40,61.20,40.80,28.80,114.40,58.60,'Sensitive'
?,?,?,?,?,?,'Sensitive'
106.45,85.80,79.40,181.10,163.50,113.40,'Sensitive'
70.20,203.80,328.50,395.50,427.60,111.00,'Sensitive'
?,?,21.50,?,68.60,32.40,'Not sensitive'
277.80,105.40,73.40,53.90,184.00,394.40,'Sensitive'
52.80,?,?,11.00,49.60,56.20,'Sensitive'
58.20,?,23.00,42.10,108.10,84.80,'Sensitive'
