                                                 Nearest Neighbour Results                                                 
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% | 20.31% (0.94%) * | 18.00% (1.33%) * | 11.12% (0.71%) * |  9.11% (0.37%) * |  7.44% (0.44%) *
audiology       |     74.77% | 60.17% (2.17%) * | 42.00% (2.56%) * | 31.85% (2.13%) * | 29.62% (1.78%) * | 26.47% (1.81%) *
autos           |     67.35% | 64.50% (1.50%) * | 61.40% (2.21%) * | 65.96% (2.02%)   | 52.92% (2.39%) * | 57.37% (0.95%) *
credit-a        |     44.49% | 39.98% (1.05%) * | 41.35% (0.99%) * | 32.04% (1.50%) * | 34.63% (0.79%) * | 34.71% (0.73%) *
hypothyroid     |      7.71% |  8.27% (0.52%) * |  7.33% (0.18%) * |  4.74% (0.14%) * |  5.01% (0.13%) * |  4.79% (0.10%) *
letter          |     96.26% | 16.86% (0.35%) * |  9.61% (0.20%) * |  6.05% (0.08%) * |  4.71% (0.06%) * |  3.93% (0.07%) *
microarray      |     50.20% | 59.47% (2.55%) * | 49.58% (2.36%)   | 42.45% (0.83%) * | 50.71% (0.95%)   | 50.88% (0.60%)  
vote            |     38.63% |  6.45% (1.01%) * | 10.42% (1.16%) * |  8.26% (0.55%) * |  7.12% (0.19%) * |  7.91% (0.39%) *

                                                   Decision Tree Results                                                   
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% |  8.53% (1.35%) * |  3.35% (0.60%) * |  1.38% (0.37%) * |  1.31% (0.36%) * |  0.72% (0.19%) *
audiology       |     74.77% | 61.00% (3.09%) * | 46.73% (5.09%) * | 30.93% (1.35%) * | 21.63% (1.36%) * | 23.06% (2.03%) *
autos           |     67.35% | 73.00% (7.14%) * | 47.00% (3.94%) * | 34.26% (3.36%) * | 29.15% (2.45%) * | 20.68% (2.51%) *
credit-a        |     44.49% | 21.24% (1.55%) * | 13.30% (1.46%) * | 19.85% (2.22%) * | 19.26% (1.55%) * | 19.36% (1.01%) *
hypothyroid     |      7.71% |  3.24% (0.29%) * |  1.60% (0.24%) * |  0.62% (0.06%) * |  0.77% (0.08%) * |  0.66% (0.09%) *
letter          |     96.26% | 28.89% (0.52%) * | 21.45% (0.31%) * | 16.46% (0.27%) * | 13.35% (0.16%) * | 11.81% (0.16%) *
microarray      |     50.20% | 50.80% (3.88%)   | 52.21% (3.24%)   | 51.30% (2.03%)   | 46.45% (1.99%) * | 49.07% (1.44%)  
vote            |     38.63% | 15.35% (3.76%) * |  5.16% (1.67%) * |  7.09% (1.23%) * |  3.44% (0.35%) * |  6.09% (0.41%) *

